Tour_ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category,total_person,tour_options,total_nights,total_nights_bin,continent
tour_id1hffseyw,italy,45_to_64,With_Children,0.0,2.0,Visiting_Friends_and_Relatives,Beach_Tourism,Friends_relatives,Package_Tour,1,1,1,1,0,0,0,0,7,1,High Cost,2.0,4,7,less_7_days,EU
tour_idnacd7zag,united_kingdom,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,0,0,7,1,High Cost,2.0,4,7,less_7_days,other
tour_id62vz7e71,united_states_of_america,more_65,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,6,6,1,Higher Cost,2.0,6,12,8_to_14_days,other
tour_idrc76tzix,rwanda,25_to_44,With_Spouse_and_Children,3.0,1.0,Leisure_and_Holidays,Beach_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,3,0,0,Lower Cost,4.0,0,3,less_7_days,AF
tour_idn723m0n9,united_states_of_america,45_to_64,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,1,1,7,0,1,Higher Cost,1.0,6,7,less_7_days,other
tour_id8aylf7ba,france,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Newspaper_magazines_brochures,Package_Tour,1,1,1,0,0,0,0,14,7,1,High Cost,2.0,3,21,15_to_30_days,EU
tour_idvcadicba,switzerland,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,7,0,1,Normal Cost,2.0,0,7,less_7_days,EU
tour_idfmavssxv,nigeria,25_to_44,Alone,0.0,1.0,Leisure_and_Holidays,Cultural_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,4,0,1,Low Cost,1.0,0,4,less_7_days,AF
tour_id8oqlvjwr,united_kingdom,18_to_24,Alone,1.0,0.0,Leisure_and_Holidays,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,60,0,1,Normal Cost,1.0,0,60,31_to_180_days,other
tour_idy0blevrs,australia,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,1,1,1,1,6,0,1,Higher Cost,2.0,6,6,less_7_days,other
tour_idjoxaae9n,united_kingdom,18_to_24,Alone,0.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,11,14,1,Higher Cost,1.0,5,25,15_to_30_days,other
tour_id6cyqodr0,france,45_to_64,With_Spouse_and_Children,2.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,1,1,0,1,1,1,0,17,9,0,Higher Cost,3.0,5,26,15_to_30_days,EU
tour_idrca24ss1,spain,45_to_64,With_Spouse_and_Children,3.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,1,0,0,1,12,6,0,Higher Cost,4.0,4,18,15_to_30_days,EU
tour_idt6ovjq4s,france,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,0,1,1,1,7,8,1,Higher Cost,2.0,5,15,15_to_30_days,EU
tour_id6hi6ek6b,denmark,45_to_64,Alone,0.0,1.0,Leisure_and_Holidays,Bird_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,14,0,0,High Cost,1.0,0,14,8_to_14_days,EU
tour_id44b51m56,belgium,45_to_64,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,0,1,1,1,1,1,0,8,0,0,Normal Cost,1.0,5,8,8_to_14_days,EU
tour_idsiu7jryp,zambia,25_to_44,Alone,0.0,1.0,Business,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,0,Normal Cost,1.0,0,2,less_7_days,AF
tour_idwvpz02dh,the_netherlands,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,1,1,0,5,0,1,Normal Cost,2.0,5,5,less_7_days,other
tour_idl43q6fm0,canada,45_to_64,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,0,1,0,0,17,0,1,Higher Cost,1.0,3,17,15_to_30_days,North_Am
tour_idzq2bnpfg,united_kingdom,25_to_44,Alone,0.0,1.0,Business,Wildlife_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,20,0,1,High Cost,1.0,0,20,15_to_30_days,other
tour_idt5xz7ayd,india,25_to_44,Alone,1.0,0.0,Leisure_and_Holidays,Beach_Tourism,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,3,0,1,Normal Cost,1.0,0,3,less_7_days,AS
tour_id5l7inuif,norway,25_to_44,Alone,1.0,0.0,Scientific_and_Academic,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,18,2,1,Low Cost,1.0,0,20,15_to_30_days,EU
tour_id32l9u6oz,united_states_of_america,more_65,Alone,1.0,0.0,Scientific_and_Academic,Hunting_Tourism,Others,Independent,0,0,0,0,0,0,0,15,0,0,Low Cost,1.0,0,15,15_to_30_days,other
tour_idtpwhctag,united_kingdom,45_to_64,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,4,0,1,Normal Cost,1.0,6,4,less_7_days,other
tour_idf0b1l18p,zimbabwe,45_to_64,None,0.0,1.0,Business,Wildlife_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,2,0,1,Lower Cost,1.0,0,2,less_7_days,AF
tour_idcsmdtoyl,morocco,25_to_44,With_Other_Friends/Relatives,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Radio_TV_Web,Package_Tour,0,1,1,1,1,1,0,8,0,1,High Cost,2.0,5,8,8_to_14_days,AF
tour_iddva3tl0q,china,25_to_44,Alone,0.0,1.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Package_Tour,1,0,0,0,0,0,0,3,0,0,Lower Cost,1.0,1,3,less_7_days,AS
tour_idcfo1cj0l,zimbabwe,45_to_64,Alone,0.0,1.0,Business,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,5,0,0,Lower Cost,1.0,0,5,less_7_days,AF
tour_idtybbzu4b,italy,18_to_24,With_Spouse,1.0,1.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,0,5,1,Low Cost,2.0,0,5,less_7_days,EU
tour_id4qn2lwio,canada,45_to_64,With_Other_Friends/Relatives,2.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,0,1,1,0,8,2,0,Normal Cost,4.0,4,10,8_to_14_days,North_Am
tour_idfghnzmw4,united_states_of_america,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,0,0,1,0,6,5,1,Higher Cost,2.0,3,11,8_to_14_days,other
tour_idcsw6hf8z,germany,18_to_24,With_Other_Friends/Relatives,2.0,1.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,20,5,1,High Cost,3.0,0,25,15_to_30_days,EU
tour_ido8rps8aj,germany,45_to_64,With_Other_Friends/Relatives,4.0,8.0,Meetings_and_Conference,Beach_Tourism,Friends_relatives,Package_Tour,0,1,1,1,0,0,0,12,3,0,Highest Cost,12.0,3,15,15_to_30_days,EU
tour_idw1x9lhy7,united_kingdom,45_to_64,Alone,0.0,1.0,Meetings_and_Conference,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,5,0,0,Normal Cost,1.0,0,5,less_7_days,other
tour_id733qlpkf,china,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,0,0,0,5,5,1,High Cost,2.0,3,10,8_to_14_days,AS
tour_id5ymgmwpp,south_africa,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Newspaper_magazines_brochures,Package_Tour,0,1,1,1,1,0,0,17,0,1,Higher Cost,2.0,4,17,15_to_30_days,other
tour_idfne9w9qc,united_states_of_america,25_to_44,Alone,0.0,1.0,Business,Wildlife_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,7,3,1,High Cost,1.0,0,10,8_to_14_days,other
tour_idbct8vzzi,south_africa,18_to_24,With_Spouse,1.0,1.0,Leisure_and_Holidays,Cultural_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,0,0,5,1,Normal Cost,2.0,4,5,less_7_days,other
tour_id9ent34f9,zambia,45_to_64,Alone,0.0,1.0,Business,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,Lower Cost,1.0,0,4,less_7_days,AF
tour_idfv3yg9u5,united_kingdom,25_to_44,With_Other_Friends/Relatives,2.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,1,1,0,1,7,6,0,Higher Cost,4.0,5,13,8_to_14_days,other
tour_ida2wycv92,zambia,25_to_44,Alone,0.0,1.0,Business,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,Lower Cost,1.0,0,4,less_7_days,AF
tour_id7jkn9lg7,australia,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,11,5,1,Higher Cost,2.0,0,16,15_to_30_days,other
tour_idzpd48w1q,united_kingdom,18_to_24,Alone,0.0,1.0,Business,Bird_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,1,0,0,Lower Cost,1.0,0,1,less_7_days,other
tour_idqb0v4p5l,united_states_of_america,25_to_44,Alone,0.0,1.0,Leisure_and_Holidays,Conference_Tourism,Friends_relatives,Independent,0,0,0,0,0,1,0,6,0,1,Normal Cost,1.0,1,6,less_7_days,other
tour_id21wftbzm,germany,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,0,1,0,0,0,0,0,15,5,1,High Cost,2.0,1,20,15_to_30_days,EU
tour_idvu5x5xue,japan,18_to_24,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,29,0,1,Normal Cost,1.0,0,29,15_to_30_days,AS
tour_id9ddgpd84,zimbabwe,25_to_44,Alone,0.0,1.0,Business,Mountain_Climbing,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,0,Lower Cost,1.0,0,2,less_7_days,AF
tour_idv99r4uze,uae,25_to_44,With_Children,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,12,0,0,Highest Cost,2.0,5,12,8_to_14_days,other
tour_idghkgao6v,russia,25_to_44,Alone,0.0,1.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,60,7,1,Normal Cost,1.0,0,67,31_to_180_days,EU
